40000162449                     0             LSYHKAAA8AK008704376560         ITopicAzulEscolar16L-4P-Longa-GNV-                                               2012022020110223	AR                                                                                                      
40000162448                     0             LKHNF1BG5BAF00823481203         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG7BAF00824481204         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG9BAF00825486440         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG0BAF00826486442         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG4BAF00828486444         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG6BAF00829486456         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG2BAF00830486457         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG4BAF00831486458         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG6BAF00832486459         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG1BAF00835489504         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG0BAF00843489505         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG8BAF00833489501         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BGXBAF00834489503         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG2BAF00844489521         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG5BAF00837489667         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG3BAF00836490778         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG2BAF00827486443         ITownerBrancaPickupCE                                                            2012070720110707	245707
40000162448                     0             LKHNF1BG9BAF00811492565         ITownerBrancaPickupCE                                                            2012070720110707	245707
40000162448                     0             LKHNF1BG7BAF00838496703         ITownerBrancaPickupCE                                                            2012070720110707	245707
40000162448                     0             LKHNF1BG9BAF01912508724         ITownerBrancaPickupCE                                                            2012070720110707	245707
40000162448                     0             LKHNF1BG0BAF01913520437         ITownerBrancaPickupCE                                                            2012071020110713	245707
40000162448                     0             LKHNF1BGXBAF01871522246         ITownerBrancaPickupCE                                                            2012071020110713	245707
40000162448                     0             LKHNF1BG2BAF01914520450         ITownerBrancaPickupCE                                                            2012071020110719	245707
40000162448                     0             LKHNF1BG5BAF00840526534         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG4BAF01879560706         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG0BAF01880560709         ITownerBrancaPickupCE                                                            2012072020110721	245707
40000162448                     0             LKHNF1BG1BAF01872566722         ITownerBrancaPickupCE                                                            2012072020110722	245707
40000162448                     0             LKHNF1BG5BAF01874574326         ITownerBrancaPickupCE                                                            2012072020110722	245707
40000162448                     0             LKHNF1BG7BAF01875574328         ITownerBrancaPickupCE                                                            2012072020110722	245707
40000162448                     0             LKHNF1BG3BAF01906579949         ITownerBrancaPickupCE                                                            2012072020110722	245707
40000162448                     0             LKHNF1BG9BAF01876579951         ITownerBrancaPickupCE                                                            2012072020110725	245707
40000162448                     0             LKHNF1BG0BAF01877579952         ITownerBrancaPickupCE                                                            2012072020110726	245707
40000162448                     0             LKHNF1BG2BAF01878579953         ITownerBrancaPickupCE                                                            2012072020110726	245707
40000162448                     0             LKHNF1BG5BAF01907581945         ITownerBrancaPickupCE                                                            2012072020110726	245707
40000162448                     0             LKHNF1BG7BAF01908581954         ITownerBrancaPickupCE                                                            2012072020110726	245707
40000162448                     0             LKHNF1BG1BAF01905579930         ITownerBrancaPickupCE                                                            2012072020110726	245707
40000162448                     0             LKHNF1BG4BAF01896583455         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG9BAF01909583008         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG3BAF01873583009         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG6BAF01897593632         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG8BAF01898593646         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BGXBAF01899593652         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG2BAF01900593635         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG2BAF01945595239         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG4BAF01901595178         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG6BAF01902595180         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG4BAF01946617744         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG6BAF01947622924         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG8BAF01870638840         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG8BAF01948639226         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BGXBAF01949676994         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG6BAF01950681741         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG8BAF01951688167         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG6BAF01964692537         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BGXBAF01952692010         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG9BAF02283692009         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG1BAF01953692011         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG9BAF01960692579         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG0BAF01958692566         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG3BAF01954692565         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG4BAF01963692534         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG9BAF01957692576         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG2BAF01959692577         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG5BAF01955692542         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG0BAF01961692543         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG7BAF02279700372         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG7BAF02282760907         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG2BAF02285770289         ITownerBrancaPickupCE                                                            2012081020110810	245707
40000162448                     0             LKHNF1BG0BAF02382812602         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG4BAF02384812603         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG1BAF02374812620         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG9BAF03482812621         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BGXBAF02289812593         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG6BAF02287812594         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG6BAF02371818163         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG4BAF02370817411         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG8BAF02372830601         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG2BAF02349860901         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BGXBAF02387860898         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG6BAF02385866802         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG1BAF02388866794         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG8BAF02386866804         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG4BAF02417876933         ITownerBrancaPickupCE                                                            2012092020110921	245707
40000162448                     0             LKHNF1BG2BAF02383883218         ITownerBrancaPickupCE                                                            2012092020110929	245707
40000162448                     0             LKHNF1BG3BAF02389886197         ITownerBrancaPickupCE                                                            2012051020110519	245707
40000162448                     0             LKHNF1BG3BAF02392894425         ITownerBrancaPickupCE                                                            2012051020110519	245707
40000162448                     0             LKHNF1BGXBAF02390894414         ITownerBrancaPickupCE                                                            2012051020110519	245707
40000162448                     0             LKHNF1BG1BAF02391894424         ITownerBrancaPickupCE                                                            2012051020110519	245707
40000162448                     0             LKHNF1BG7BAF02394914563         ITownerBrancaPickupCE                                                            2012051020110519	245707
40000162448                     0             LKHNF1BG5BAF02393914562         ITownerBrancaPickupCE                                                            2012051020110519	245707
40000162448                     0             LKHNF1BG4BAF02398918742         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG2BAF02321923981         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BGXBAF03488922036         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG7BAF03495922037         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG4BAF02322923982         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG6BAF02323924655         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG8BAF02324924656         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG9BAF02297922034         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG0BAF02320923934         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG9BAF03496923861         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG0BAF02396918739         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG9BAF02395918736         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG2BAF02397918741         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG2BAF03579923864         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG5BAF02300923866         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG4BAF02319923933         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG5BAF02412112493         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG3BAF02358113136         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG6BAF02354113136         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BGXBAF02356113136         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG1BAF02357113136         ITownerBrancaPickupCE                                                            2012091020110915	245707
40000162448                     0             LKHNF1BG0BAF02351113136         ITownerBrancaPickupCE                                                            2012033020110331	245707
40000162448                     0             LKHNF1BG0BAF02348113135         ITownerBrancaPickupCE                                                            2012033020110331	245707
40000162448                     0             LKHNF1BG9BAF02350113135         ITownerBrancaPickupCE                                                            2012033020110331	245707
40000162448                     0             LKHNF1BG2BAF02352113136         ITownerBrancaPickupCE                                                            2012033020110331	245707
40000162448                     0             LKHNF1BG1BAF02410124567         ITownerBrancaPickupCE                                                            2012033020110331	245707
40000162448                     0             LKHNF1BG3BAF02411124567         ITownerBrancaPickupCE                                                            2012042020110429	245707
40000162448                     0             LKHNF1BG5BAF02409124567         ITownerBrancaPickupCE                                                            2012050320110503	245707
40000162448                     0             LKHNF1BG6BAF02418125821         ITownerBrancaPickupCE                                                            2012083020110831	245707
40000162448                     0             LKHNF1BG8BAF02291125891         ITownerBrancaPickupCE                                                            2012090220110902	245707
40000162448                     0             LKHNF1BGXBAF02292125893         ITownerBrancaPickupCE                                                            2012031020110310	245707
40000162448                     0             LKHNF1BG9BAF02414125710         ITownerBrancaPickupCE                                                            2012031020110310	245707
40000162448                     0             LKHNF1BG0BAF02415125710         ITownerBrancaPickupCE                                                            2012032020110323	245707
40000162448                     0             LKHNF1BG1BAF02293125893         ITownerBrancaPickupCE                                                            2012042020110427	245707
40000162448                     0             LKHNF1BG7BAF02413125497         ITownerBrancaPickupCE                                                            2012051020110518	245707
40000162448                     0             LKHNF1BG5BAF02295126119         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG2BAF02416125880         ITownerBrancaPickupCE                                                            2012072020110728	245707
40000162448                     0             LKHNF1BG3BAF02294126119         ITownerBrancaPickupCE                                                            2012072020110729	245707
40000162448                     0             LKHNF1BG7BAF02296130648         ITownerBrancaPickupCE                                                            2012081020110811	245707
40000162448                     0             LKHNF1BG2BAF02299136176         ITownerBrancaPickupCE                                                            2012083020110831	245707
40000162448                     0             LKHNF1BG7BAF02301136787         ITownerBrancaPickupCE                                                            2012083020110831	245707
40000162448                     0             LKHNF1BG0BAF02298136787         ITownerBrancaPickupCE                                                            2012083020110831	245707
40000162448                     0             LKHNF1BG6BAF00846148615         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG0BAF03483150266         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG1BAF03492150266         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG0BAF02303150266         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BGXBAF02308150266         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG4BAF02403150266         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG4BAF02305150922         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG8BAF02307151360         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG1BAF02309151338         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG9BAF02302151234         ITownerBrancaPickupCE                                                            2012011020110113	245707
40000162448                     0             LKHNF1BG2BAF02304151234         ITownerBrancaPickupCE                                                            2012011020110114	245707
40000162448                     0             LKHNF1BG8BAF02310151343         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG6BAF03486151314         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG2BAF02318151337         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG3BAF02408151331         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG0BAF02401151314         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG5BAF03480151314         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BGXBAF02311151234         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG2BAF03484151331         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG4BAF03485151332         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG3BAF02313151314         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG8BAF03487151335         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG4BAF03504158463         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG6BAF03505158774         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG6BAF02306158908         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG1BAF02312158908         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG1BAF03511158467         ITownerBrancaPickupCE                                                            2012063020110630	245707
40000162448                     0             LKHNF1BG8BAF03506158774         ITownerBrancaPickupCE                                                            2012071020110719	245707
40000162448                     0             LKHNF1BGXBAF03507158775         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG6BAF03519158907         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG5BAF02314158908         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG9BAF02316158908         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG7BAF03500158463         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG1BAF03508158795         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG3BAF03509158795         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG9BAF03501158463         ITownerBrancaPickupCE                                                            2012072020110720	245707
40000162448                     0             LKHNF1BG0BAF03502158463         ITownerBrancaPickupCE                                                            2012072020110728	245707
40000162448                     0             LKHNF1BG2BAF03503158463         ITownerBrancaPickupCE                                                            2012072020110728	245707
40000162448                     0             LKHNF1BG9BAF00467377517         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110728	245707
40000162448                     0             LKHNF1BG4BAF01882525175         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG6BAF01883525176         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG3BAF01887525209         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG5BAF01888525210         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG8BAF01884525177         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BGXBAF01885525178         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG9BAF01893525187         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG7BAF01889525211         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG0BAF01894525188         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG2BAF01881525173         ITownerBrancaPickupCEBaúFacchini                                                 2012072020110729	245707
40000162448                     0             LKHNF1BG1BAF01886525179         ITownerBrancaPickupCEBaúFacchini                                                 2012081020110810	245707
40000162448                     0             LKHNF1BG2BAF01895525189         ITownerBrancaPickupCEBaúFacchini                                                 2012081020110811	245707
40000162448                     0             LKHNF1BG3BAF01890525199         ITownerBrancaPickupCEBaúFacchini                                                 2012081020110816	245707
40000162448                     0             LKHNF1BG5BAF01891525200         ITownerBrancaPickupCEBaúFacchini                                                 2012081020110816	245707
40000162448                     0             LKHNF1BG7BAF01892525201         ITownerBrancaPickupCEBaúFacchini                                                 2012082020110826	245707
40000162448                     0             LKHNF1BGXBAF01868613772         ITownerBrancaPickupCEBaúFacchini                                                 2012082020110829	245707
40000162448                     0             LKHNF1BG1BAF01869677003         ITownerBrancaPickupCEBaúFacchini                                                 2012082020110829	245707
40000162448                     0             LKHNF1BG9BAF00839677005         ITownerBrancaPickupCEBaúFacchini                                                 2012082020110829	245707
40000162448                     0             LKHNF1BG9BAF00842681744         ITownerBrancaPickupCEBaúFacchini                                                 2012082020110829	245707
40000162448                     0             LKHNF1BG7BAF00841677763         ITownerBrancaPickupCEBaúFacchini                                                 2012082020110829	245707
40000162448                     0             LKHNF1BG4BAF01865700373         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110830	245707
40000162448                     0             LKHNF1BG6BAF01866740049         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG8BAF01867794272         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG0BAF02284117126         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG4BAF02286123468         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG8BAF02369148613         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BGXBAF02342151250         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG3BAF02344151248         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG1BAF02343151250         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG8BAF02341151250         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG9BAF02378158774         ITownerBrancaPickupCEBaúFacchini                                                 2012083020110831	245707
40000162448                     0             LKHNF1BG4BAF02434732993         ITownerBrancaPickupCEBaúFacchini-COMAR                                           2012083020110831	245707
40000162448                     0             LKHNF1BG8BAF02436821683         ITownerBrancaPickupCEBaúFacchini-COMAR                                           2012083020110831	245707
40000162448                     0             LKHNF1BG6BAF02435861882         ITownerBrancaPickupCEBaúFacchini-COMAR                                           2012083020110831	245707
40000162448                     0             LKHNF1BG4BAF05446151608         ITownerBrancaPickupCEBaúFacchini-COMAR                                           2012083020110831	245707
40000162448                     0             LKHNF1BG5BAF05424152077         ITownerBrancaPickupCEBaúFacchini-COMAR                                           2012083020110831	245707
40000162448                     0             LKHNF1BG6BAF00801423163         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG8BAF00802424354         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG7BAF01911595128         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG8BAF01903596712         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BGXBAF01904640498         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG5BAF01910677731         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG7BAF01956798521         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG3BAF02280798569         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG5BAF02281798518         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG2BAF01962889608         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG4BAF00845893389         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG7BAF03481926588         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG7BAF02377926584         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG9BAF02381926587         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG3BAF02375926583         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG7BAF02380926585         ITownerBrancaPickupCEBaúFarage                                                   2012091020110915	245707
40000162448                     0             LKHNF1BG1BAF02326123452         ITownerBrancaPickupCEBaúFarage                                                   2012012020110120	245707
40000162448                     0             LKHNF1BGXBAF02325124483         ITownerBrancaPickupCEBaúFarage                                                   2012031020110316	245707
40000162448                     0             LKHNF1BG5BAF02328125821         ITownerBrancaPickupCEBaúFarage                                                   2012031020110316	245707
40000162448                     0             LKHNF1BG3BAF02327125710         ITownerBrancaPickupCEBaúFarage                                                   2012031020110316	245707
40000162448                     0             LKHNF1BG5BAF02331125711         ITownerBrancaPickupCEBaúFarage                                                   2012031020110316	245707
40000162448                     0             LKHNF1BG7BAF02332151332         ITownerBrancaPickupCEBaúFarage                                                   2012031020110316	245707
40000162448                     0             LKHNF1BG7BAF02329151332         ITownerBrancaPickupCEBaúFarage                                                   2012031020110316	245707
40000162448                     0             LKHNF1BG9AAF02654363650         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG1BAF00964424366         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG4BAF00960502046         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG6BAF00961502054         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG9BAF02431677730         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG0BAF02432687961         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG2BAF02433687967         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG8BAF02422787328         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG1BAF02424869509         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012031020110316	245707
40000162448                     0             LKHNF1BG2BAF05431126109         ITownerBrancaPickupCEBaúFarage-COMAR                                             2012041020110412	245707
40000162448                     0             LKHNC1CG3BAT04853415888         ITownerBrancaPickupCEBaúHafei                                                    2012042020110426	245724
40000162448                     0             LKHNC1CG1BAT04835415865         ITownerBrancaPickupCEBaúHafei                                                    2012042020110426	245724
40000162448                     0             LKHNC1CG5BAT04837415867         ITownerBrancaPickupCEBaúHafei                                                    2012042020110427	245724
40000162448                     0             LKHNC1CG3BAT04836415866         ITownerBrancaPickupCEBaúHafei                                                    2012042020110427	245724
40000162448                     0             LKHNC1CG7BAT04838415868         ITownerBrancaPickupCEBaúHafei                                                    2012050320110503	245724
